 "X",  "Y",  "Z",  "U",  "V",  "W",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "q",  "r",  "q_ref",  "r_ref"
7.20944,9.71362,-0.162952,0.79174,-6.53066,6.47473,0.0850197,-0.0821817,-0.0137295,0.0861395,-0.0833016,-0.081387,0.0329614,925,690,4.31987,68.7572,40.1818,27.3755,43.5803,-39.6055
7.95485,9.73144,-0.0570851,0.847717,-6.57303,6.48311,0.0838893,-0.081783,-0.0137115,0.0850165,-0.0829101,-0.082019,0.0303473,932,690,4.8866,69.1227,40.2748,27.6789,43.135,-39.769
8.69391,9.73737,-0.056669,0.897789,-6.61724,6.50404,0.0823963,-0.0812498,-0.0137607,0.0835453,-0.0823988,-0.0833088,0.0326821,939,690,5.39011,69.4988,40.4416,28.027,42.8394,-39.927
9.42809,9.72713,-0.138805,0.941783,-6.68146,6.48958,0.0807733,-0.08067,-0.0139553,0.0819707,-0.0818674,-0.0855947,0.035856,946,690,5.85587,70.0083,40.7463,28.6637,42.6627,-39.9513
10.1655,9.71628,-0.164089,0.974637,-6.75579,6.51687,0.0792066,-0.080035,-0.0142986,0.0804803,-0.0813088,-0.0888446,0.0336997,953,690,6.19367,70.7329,40.7947,29.5025,42.4089,-39.846
10.9052,9.71227,-0.149598,1.02873,-6.81809,6.63083,0.0789415,-0.0794032,-0.0147298,0.0803001,-0.0807618,-0.0919723,0.0342358,960,690,6.68777,71.4749,40.8138,30.2453,42.1001,-39.7872
11.6484,9.72106,-0.0735998,1.08353,-6.88052,6.6745,0.0785113,-0.0786174,-0.0154575,0.0800175,-0.0801236,-0.0971343,0.0358837,967,690,7.22703,72.1447,40.8871,30.8025,41.7047,-39.8421
12.3916,9.73343,0.00565634,1.13247,-6.93736,6.62073,0.0774855,-0.0772702,-0.0164061,0.0792056,-0.0789904,-0.104466,0.036604,974,690,7.76068,72.626,41.0862,31.1703,41.3054,-39.9578
13.1277,9.72395,-0.0421134,1.19939,-6.98364,6.64277,0.0768638,-0.0759017,-0.0171259,0.0787602,-0.0777981,-0.110282,0.0360283,981,690,8.42468,73.1488,41.486,31.5958,41.0879,-39.925
13.8615,9.70715,-0.131184,1.26206,-7.01857,6.80361,0.0768733,-0.0740998,-0.0175351,0.0788832,-0.0761096,-0.114123,0.0368214,988,690,8.97832,73.7183,41.6443,32.1142,40.9306,-39.8397
14.6018,9.7124,-0.102275,1.28832,-7.08477,6.8188,0.0767487,-0.0723074,-0.0175935,0.0787972,-0.0743559,-0.115911,0.0400657,995,690,9.26212,74.3198,41.586,32.7148,40.6066,-39.9257
15.3462,9.73279,0.00297603,1.30005,-7.16969,6.73203,0.0758175,-0.0704325,-0.0173753,0.0778535,-0.0724684,-0.116643,0.0408025,1002,690,9.4588,74.9664,41.482,33.2809,40.175,-40.1387
16.0854,9.73894,0.0145162,1.35505,-7.23859,6.80228,0.0743158,-0.0686275,-0.0169766,0.0763044,-0.070616,-0.116604,0.0386769,1009,690,9.98962,75.6293,41.6115,33.9361,39.8776,-40.2774
16.8255,9.74164,0.044977,1.42603,-7.2889,6.9613,0.0732949,-0.0669546,-0.0163927,0.0751855,-0.0688451,-0.114821,0.0391565,1016,690,10.6306,76.2785,41.694,34.5573,39.556,-40.3119
17.5674,9.74696,0.112649,1.44408,-7.36448,6.86185,0.0730926,-0.0653913,-0.0157766,0.0748672,-0.0671659,-0.112012,0.0391734,1023,690,10.8911,76.9346,41.7275,35.1115,39.1836,-40.3184
18.3085,9.75332,0.165916,1.45728,-7.43856,6.77198,0.0729772,-0.06427,-0.0149383,0.0745843,-0.0658771,-0.10717,0.0396237,1030,690,11.0994,77.5899,41.7187,35.608,38.8323,-40.3744
19.0443,9.74626,0.112818,1.49883,-7.49542,6.85757,0.0724329,-0.06345,-0.0139794,0.0738562,-0.0648733,-0.101462,0.0386363,1037,690,11.4953,78.2473,41.7938,36.1831,38.6327,-40.3981
19.7753,9.72921,-0.0392196,1.57675,-7.5246,7.10977,0.0720075,-0.0630638,-0.0127905,0.0732081,-0.0642643,-0.0935862,0.034712,1044,690,12.1623,78.7773,42.0322,36.7028,38.574,-40.4385
20.514,9.72673,-0.0325343,1.6265,-7.56302,7.21249,0.0719725,-0.0631043,-0.0116967,0.0729779,-0.0641097,-0.0857426,0.0341441,1051,690,12.6318,79.2825,42.0682,37.1686,38.2933,-40.4244
21.2577,9.74231,0.0808239,1.65246,-7.61047,7.21938,0.072242,-0.0636585,-0.0109505,0.0731187,-0.0645352,-0.0798905,0.0333416,1058,690,12.9193,79.6873,41.9133,37.591,37.8621,-40.5296
21.9991,9.74987,0.14713,1.68038,-7.66048,7.23686,0.0728969,-0.0645251,-0.0106481,0.0737171,-0.0653453,-0.0768733,0.0306126,1065,690,13.2204,80.1868,41.8265,38.0365,37.4991,-40.5809
22.7381,9.7527,0.163627,1.70387,-7.72635,7.21092,0.0756742,-0.066088,-0.010856,0.0765007,-0.0669145,-0.0759886,0.0338651,1072,690,13.4978,80.7807,41.8538,38.5685,37.2077,-40.6465
23.4725,9.74094,0.080448,1.75324,-7.78423,7.35247,0.0790788,-0.0683383,-0.0116089,0.0799874,-0.0692469,-0.0781072,0.0350878,1079,690,13.9505,81.5295,41.9576,39.2181,37.0592,-40.6438
24.209,9.74003,0.040702,0,0,0,0,0,0,0,0,0,-1,1086,690,0,0,0,0,36.8495,-40.7556
156.331,128.968,1090.49,0,0,0,0,0,0,0,0,0,-1,1093,690,0,0,0,0,0,0
156.331,128.968,1090.49,0,0,0,0,0,0,0,0,0,-1,1100,690,0,0,0,0,0,0
156.331,128.968,1090.49,0,0,0,0,0,0,0,0,0,-1,1107,690,0,0,0,0,0,0
27.1716,9.74978,0.284291,0,0,0,0,0,0,0,0,0,-1,1114,690,0,0,0,0,35.4618,-40.6188
156.331,128.968,1090.49,0,0,0,0,0,0,0,0,0,-1,1121,690,0,0,0,0,0,0
156.331,128.968,1090.49,0,0,0,0,0,0,0,0,0,-1,1128,690,0,0,0,0,0,0
156.331,128.968,1090.49,0,0,0,0,0,0,0,0,0,-1,1135,690,0,0,0,0,0,0
156.331,128.968,1090.49,0,0,0,0,0,0,0,0,0,-1,1142,690,0,0,0,0,0,0
30.8569,9.75122,0.182173,0,0,0,0,0,0,0,0,0,-1,1149,690,0,0,0,0,34.3254,-41.089
31.5964,9.75938,0.224347,2.29207,-8.41498,7.69872,0.0651164,-0.0594912,-0.00980882,0.0658838,-0.0602586,-0.0780768,0.0376722,1156,690,19.4371,88.0196,43.8668,44.9094,34.0134,-41.2014
32.336,9.76587,0.273669,2.32178,-8.4598,7.62174,0.0636821,-0.0583344,-0.0100624,0.0645063,-0.0591586,-0.0817319,0.0418877,1163,690,19.7904,88.3782,44.0072,45.1735,33.6931,-41.2676
33.0735,9.76868,0.267531,2.3783,-8.47517,7.76843,0.0624781,-0.0568156,-0.0100305,0.0633156,-0.0576531,-0.0833028,0.0428732,1170,690,20.3239,88.6369,44.08,45.428,33.4522,-41.3795
33.8099,9.76409,0.233729,2.44477,-8.49675,7.94346,0.06169,-0.0549356,-0.00966684,0.0624858,-0.0557314,-0.0821408,0.0423958,1177,690,20.9452,88.9274,44.241,45.9097,33.2528,-41.4089
