" ""X""","  ""Y""","  ""Z""","  ""U""","  ""V""","  ""W""","  ""exx""","  ""eyy""","  ""exy""","  ""e1""","  ""e2""","  ""gamma""","  ""sigma""","  ""x""","  ""y""","  ""u""","  ""v""","  ""q""","  ""r""","  ""q_ref""","  ""r_ref"""
18.2649,-13.5021,-5.69061,0.695276,-2.25433,0.304894,0.000868156,-0.000559877,-0.000235712,0.000906057,-0.000597778,-0.159428,0.00683503,1811,1123,3.99349,23.2579,138.601,-24.808,142.537,-47.9187
18.5595,-13.4105,-5.79257,0.696275,-2.25674,0.305279,0.000911783,-0.000665207,-0.000295022,0.000965169,-0.000718592,-0.179016,0.006894,1816,1123,4.01449,23.2856,138.663,-24.784,142.587,-47.9154
18.8525,-13.3143,-5.89932,0.696856,-2.25892,0.305018,0.000970264,-0.000771112,-0.000399158,0.0010574,-0.000858247,-0.214925,0.00695845,1821,1123,4.03149,23.3182,138.755,-24.764,142.667,-47.9186
19.151,-13.2329,-5.98916,0.697645,-2.25801,0.308428,0.00101831,-0.000831878,-0.000543443,0.00116612,-0.000979691,-0.265569,0.00699339,1826,1123,4.04952,23.2666,138.748,-24.8149,142.651,-47.9295
19.4434,-13.1348,-6.09787,0.698555,-2.26249,0.306672,0.00111721,-0.000860782,-0.000660012,0.00131722,-0.00106079,-0.294239,0.0070549,1831,1123,4.06981,23.351,138.856,-24.767,142.746,-47.9379
19.7418,-13.0525,-6.1885,0.699474,-2.26437,0.307534,0.00123431,-0.000877245,-0.000751885,0.00147468,-0.00111761,-0.309421,0.00711494,1836,1123,4.08987,23.3605,138.858,-24.7643,142.738,-47.9524
20.0297,-12.942,-6.31071,0.699353,-2.26475,0.30723,0.00129829,-0.000831184,-0.000857766,0.00160082,-0.00113372,-0.339077,0.00717665,1841,1123,4.10076,23.3679,139.047,-24.7754,142.915,-47.9693
20.3255,-12.8523,-6.40968,0.699755,-2.26581,0.307949,0.00135225,-0.000740064,-0.000946614,0.00171695,-0.00110477,-0.367744,0.00723352,1846,1123,4.11533,23.3713,139.099,-24.7825,142.957,-47.9827
20.6216,-12.7637,-6.50739,0.699847,-2.26419,0.310278,0.00139002,-0.000620342,-0.00101825,0.00181566,-0.00104597,-0.395929,0.00727802,1851,1123,4.12756,23.3125,139.145,-24.8249,142.994,-47.9976
20.9233,-12.6898,-6.58846,0.699461,-2.26522,0.30954,0.0014096,-0.000478781,-0.00107411,0.00189552,-0.000964697,-0.42484,0.00734554,1856,1123,4.13432,23.3325,139.093,-24.8207,142.935,-48.0146
21.2138,-12.5855,-6.70369,0.698603,-2.26736,0.306771,0.00140069,-0.00031492,-0.00112027,0.00195386,-0.000868086,-0.458658,0.00742402,1861,1123,4.13634,23.3944,139.242,-24.7925,143.077,-48.0305
21.5106,-12.4984,-6.79968,0.697722,-2.26575,0.308115,0.00134407,-0.000121606,-0.00116021,0.00198351,-0.000761046,-0.503718,0.00747858,1866,1123,4.13636,23.3526,139.274,-24.8336,143.107,-48.048
